Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-09-30,2983.850098,2967.070068,2967.070068,2976.73999,3247610000,2976.73999,9,30,0,2.1,1.9,3.5,0.029,0.807,0.165
2019-10-01,2992.530029,2938.699951,2983.689941,2940.25,3558040000,2940.25,10,1,1,2.1,1.88,3.6,0.023,0.813,0.163
2019-10-02,2924.780029,2874.929932,2924.780029,2887.610107,3912520000,2887.610107,10,2,2,2.1,1.85,3.6,0.031,0.804,0.165
2019-10-03,2911.129883,2855.939941,2885.379883,2910.629883,3503640000,2910.629883,10,3,3,2.1,1.83,3.6,0.029,0.804,0.167
2019-10-04,2953.73999,2918.560059,2918.560059,2952.01001,2990830000,2952.01001,10,4,4,2.1,1.82,3.6,0.027,0.785,0.187
2019-10-07,2959.75,2935.679932,2944.22998,2938.790039,2940140000,2938.790039,10,7,0,2.1,1.82,3.6,0.020,0.833,0.147
2019-10-08,2925.469971,2892.659912,2920.399902,2893.060059,3356450000,2893.060059,10,8,1,2.1,1.82,3.6,0.014,0.867,0.119
2019-10-09,2929.320068,2907.409912,2911.100098,2919.399902,2726820000,2919.399902,10,9,2,2.1,1.82,3.6,0.018,0.853,0.129
2019-10-10,2948.459961,2917.120117,2918.550049,2938.129883,3217250000,2938.129883,10,10,3,2.1,1.82,3.6,0.026,0.803,0.171
2019-10-11,2993.280029,2963.070068,2963.070068,2970.27002,3580460000,2970.27002,10,11,4,2.1,1.82,3.6,0.029,0.802,0.169
2019-10-14,2972.840088,2962.939941,2965.810059,2966.149902,2557020000,2966.149902,10,14,0,2.1,1.82,3.6,0.029,0.802,0.169
2019-10-15,3003.280029,2973.610107,2973.610107,2995.679932,3340740000,2995.679932,10,15,1,2.1,1.9,3.6,0.023,0.823,0.154
2019-10-16,2997.540039,2985.199951,2989.679932,2989.689941,3222570000,2989.689941,10,16,2,2.1,1.9,3.6,0.032,0.799,0.169
2019-10-17,3008.290039,2991.790039,3000.77002,2997.949951,3115960000,2997.949951,10,17,3,2.1,1.85,3.6,0.033,0.819,0.148
2019-10-18,3000,2976.310059,2996.840088,2986.199951,3264290000,2986.199951,10,18,4,2.1,1.85,3.6,0.024,0.822,0.153
2019-10-21,3007.330078,2995.350098,2996.47998,3006.719971,3271620000,3006.719971,10,21,0,2.1,1.85,3.6,0.025,0.821,0.154
2019-10-22,3014.570068,2995.040039,3010.72998,2995.98999,3523890000,2995.98999,10,22,1,2.1,1.85,3.6,0.037,0.800,0.163
2019-10-23,3004.780029,2991.209961,2994.01001,3004.52002,3392870000,3004.52002,10,23,2,2.1,1.85,3.6,0.034,0.818,0.149
2019-10-24,3016.070068,3000.419922,3014.780029,3010.290039,3692600000,3010.290039,10,24,3,2.1,1.85,3.6,0.030,0.826,0.144
2019-10-25,3027.389893,3001.939941,3003.320068,3022.550049,3370370000,3022.550049,10,25,4,2.1,1.83,3.6,0.025,0.823,0.152
2019-10-28,3044.080078,3032.120117,3032.120117,3039.419922,3521230000,3039.419922,10,28,0,2.1,1.83,3.6,0.032,0.814,0.154
2019-10-29,3047.870117,3034.810059,3035.389893,3036.889893,3589930000,3036.889893,10,29,1,2.1,1.82,3.6,0.035,0.817,0.149
2019-10-30,3050.100098,3025.959961,3039.73999,3046.77002,3776030000,3046.77002,10,30,2,2.1,1.82,3.6,0.036,0.815,0.149
2019-10-31,3046.899902,3023.189941,3046.899902,3037.560059,4139280000,3037.560059,10,31,3,2.1,1.58,3.6,0.037,0.806,0.156
2019-11-01,3066.949951,3050.719971,3050.719971,3066.909912,3930200000,3066.909912,11,1,4,2.1,1.57,3.5,0.025,0.823,0.152
2019-11-04,3085.199951,3074.870117,3078.959961,3078.27002,4146850000,3078.27002,11,4,0,2.1,1.56,3.5,0.034,0.791,0.175
2019-11-05,3083.949951,3072.149902,3080.800049,3074.620117,4486130000,3074.620117,11,5,1,2.1,1.56,3.5,0.032,0.805,0.163
