date,sentiment
20190710,"{'neg': 0.025, 'neu': 0.843, 'pos': 0.132, 'compound': 0.9992}"
20190708,"{'neg': 0.029, 'neu': 0.83, 'pos': 0.141, 'compound': 0.9991}"
20190705,"{'neg': 0.059, 'neu': 0.789, 'pos': 0.151, 'compound': 0.9928}"
20190625,"{'neg': 0.024, 'neu': 0.764, 'pos': 0.213, 'compound': 1.0}"
20190620,"{'neg': 0.016, 'neu': 0.859, 'pos': 0.125, 'compound': 0.9989}"
20190510,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.9935}"
20200130,"{'neg': 0.061, 'neu': 0.751, 'pos': 0.188, 'compound': 0.9999}"
20200128,"{'neg': 0.038, 'neu': 0.761, 'pos': 0.201, 'compound': 1.0}"
20200113,"{'neg': 0.058, 'neu': 0.76, 'pos': 0.182, 'compound': 0.9999}"
20191023,"{'neg': 0.058, 'neu': 0.769, 'pos': 0.173, 'compound': 0.9998}"
20191021,"{'neg': 0.029, 'neu': 0.83, 'pos': 0.141, 'compound': 0.9998}"
20191016,"{'neg': 0.059, 'neu': 0.735, 'pos': 0.207, 'compound': 0.9999}"
20190917,"{'neg': 0.006, 'neu': 0.86, 'pos': 0.134, 'compound': 0.9996}"
20190905,"{'neg': 0.009, 'neu': 0.885, 'pos': 0.106, 'compound': 0.9986}"
20190724,"{'neg': 0.06, 'neu': 0.77, 'pos': 0.169, 'compound': 0.9997}"
20190517,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.9607}"
20200429,"{'neg': 0.028, 'neu': 0.843, 'pos': 0.129, 'compound': 0.9992}"
20200318,"{'neg': 0.021, 'neu': 0.868, 'pos': 0.111, 'compound': 0.9993}"
20200310,"{'neg': 0.004, 'neu': 0.857, 'pos': 0.139, 'compound': 0.9998}"
20200304,"{'neg': 0.028, 'neu': 0.822, 'pos': 0.149, 'compound': 0.9999}"
20200131,"{'neg': 0.01, 'neu': 0.861, 'pos': 0.13, 'compound': 0.9994}"
20200129,"{'neg': 0.035, 'neu': 0.827, 'pos': 0.138, 'compound': 0.9998}"
20191126,"{'neg': 0.006, 'neu': 0.864, 'pos': 0.129, 'compound': 0.9994}"
20191023,"{'neg': 0.025, 'neu': 0.796, 'pos': 0.179, 'compound': 0.9998}"
20190924,"{'neg': 0.011, 'neu': 0.877, 'pos': 0.112, 'compound': 0.9992}"
20190801,"{'neg': 0.009, 'neu': 0.878, 'pos': 0.114, 'compound': 0.9996}"
20190731,"{'neg': 0.016, 'neu': 0.831, 'pos': 0.153, 'compound': 0.9982}"
20190724,"{'neg': 0.035, 'neu': 0.825, 'pos': 0.14, 'compound': 0.999}"
20190516,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.9864}"
20200423,"{'neg': 0.027, 'neu': 0.855, 'pos': 0.117, 'compound': 0.9996}"
20200410,"{'neg': 0.01, 'neu': 0.899, 'pos': 0.092, 'compound': 0.9987}"
20200409,"{'neg': 0.037, 'neu': 0.816, 'pos': 0.146, 'compound': 0.9991}"
20200218,"{'neg': 0.02, 'neu': 0.854, 'pos': 0.125, 'compound': 0.9998}"
20200210,"{'neg': 0.012, 'neu': 0.903, 'pos': 0.085, 'compound': 0.9977}"
20200128,"{'neg': 0.007, 'neu': 0.896, 'pos': 0.097, 'compound': 0.999}"
20191211,"{'neg': 0.02, 'neu': 0.846, 'pos': 0.134, 'compound': 0.999}"
20191024,"{'neg': 0.025, 'neu': 0.841, 'pos': 0.134, 'compound': 0.9994}"
20190927,"{'neg': 0.033, 'neu': 0.787, 'pos': 0.18, 'compound': 0.9999}"
20190725,"{'neg': 0.027, 'neu': 0.818, 'pos': 0.155, 'compound': 0.9995}"
20190607,"{'neg': 0.015, 'neu': 0.836, 'pos': 0.15, 'compound': 0.9855}"
20200423,"{'neg': 0.051, 'neu': 0.797, 'pos': 0.151, 'compound': 0.9998}"
20200423,"{'neg': 0.018, 'neu': 0.868, 'pos': 0.114, 'compound': 0.9985}"
20200423,"{'neg': 0.018, 'neu': 0.87, 'pos': 0.112, 'compound': 0.9984}"
20200408,"{'neg': 0.029, 'neu': 0.767, 'pos': 0.204, 'compound': 1.0}"
